Title,Main Story,Main + Extras,Completionist
Victoria II,25.51,85.73,285.8
Victoria: Revolutions,11.86,0.0,0.0
Shoppe Keep,16.12,28.02,92.97
Relic Hunters Zero: Remix,2.87,8.14,25.21
Time Clickers,180.45,583.63,1466.78
Brawlhalla,45.2,120.55,315.16
Oxenfree,4.44,5.66,13.11
Mad Max,20.04,38.86,61.63

Undertale,6.92,11.22,20.71

Punch Club,10.41,13.37,24.12
Office Battle,0.0,0.0,0.0

Missing Translation,1.08,1.36,1.74
SimplePlanes,6.54,0.0,0.0
Out of Space,5.4,12.08,23.0

Block N Load,0.0,0.0,0.0
Stardew Valley,53.37,94.08,167.99
Danganronpa: Trigger Happy Havoc,25.19,31.05,45.2
Outlast 2,7.29,8.88,13.82

Call of Duty: Black Ops III,9.02,14.82,85.24
Emily is Away,0.68,0.96,1.09
Shadow Tactics: Blades of the Shogun,24.93,30.47,56.67
Devil Daggers,4.77,37.04,87.18
Bell Ringer,0.28,0.0,3.87
Abiotic Factor,25.5,39.53,60.22
Factorio,49.9,92.65,218.84
The Witness,17.1,24.28,38.13
Tom Clancy's Rainbow Six Siege,3.32,17.22,90.74

Dying Light,18.02,36.13,63.5
Project CARS - Pagani Edition,0.0,0.0,0.0
Golf With Your Friends,6.16,11.1,26.64

Iron Snout,1.98,2.49,6.44
Z1 Battle Royale,68.63,106.32,0.0

Blood and Bacon,4.04,7.91,13.47
The Final Station,4.57,5.85,7.64
Detached,2.5,3.0,0.0
Raw Data,5.44,9.64,17.09
GoNNER,7.59,8.84,9.68
Learn Japanese To Survive - Hiragana Battle,9.87,11.16,12.76
Necropolis,6.83,9.53,21.66

Paladins,62.08,211.43,467.11

Jalopy,6.18,10.8,27.85
Arma 3,19.53,42.36,120.47
Job Simulator,2.55,3.07,3.51
The Lab,1.01,1.69,1.86
"Hot Dogs, Horseshoes & Hand Grenades",35.0,46.12,70.5
No Man's Sky,31.32,75.95,151.95
Caveblazers,33.5,73.9,140.43
Amaranthine,3.0,4.0,4.03
The Darkside Detective,3.75,5.74,6.61
Fractured Space,2.0,4.0,8.0
SEUM: Speedrunners from Hell,3.8,8.26,32.53
March of the Living,0.0,0.0,0.0
SpeedRunners,2.14,10.92,15.72
Fallout 4,27.51,82.72,160.01
DOOM,12.09,22.12,38.41

Beholder,6.09,10.56,21.39
Homefront: The Revolution,12.11,19.08,32.64
Human Fall Flat,6.3,12.05,25.25
Mini Thief,2.56,3.62,6.17
Best Buds,0.3,0.0,0.39

The Elder Scrolls V: Skyrim Special Edition,26.01,113.02,205.25
BATTALION: Legacy,0.0,0.0,0.0
Dishonored 2,12.46,22.76,46.2
Onward,3.0,0.0,0.0
Medieval Kingdom Wars,0.0,0.0,0.0
Evolve Stage 2,21.04,0.0,0.0
Atlas Reactor,0.0,0.0,0.0
In Celebration of Violence,0.0,0.0,202.0
You Have 10 Seconds,2.67,0.0,0.0
The Hex,5.23,6.23,11.86
Streets of Rogue,9.76,22.14,45.56
Faeria,11.96,36.5,93.51
ORION: Prelude,4.54,9.66,179.81
Observer,6.95,8.72,11.35
My Summer Car,33.43,53.89,141.22
Sid Meier's Civilization VI,23.35,92.88,375.86
DRIFT CE,0.0,0.0,0.0

True or False,0.0,0.58,1.09
Emily is Away Too,2.33,2.82,4.12
The Witcher 3: Wild Hunt,51.56,103.59,174.06
Monsti,0.15,0.0,34.4
Star Trek: Bridge Crew,5.96,11.17,14.08
SYNTHETIK,4.0,0.0,0.0
Awkward Dimensions Redux,0.86,0.9,1.11
BioShock,12.11,15.63,23.07
BioShock 2,10.53,14.4,23.78
BioShock Infinite,11.55,16.07,28.42
BioShock Remastered,12.11,15.63,23.07
BioShock 2 Remastered,10.53,14.4,23.78
Resident Evil 7 Teaser: Beginning Hour,0.6,1.11,1.74
Bloody Walls,0.58,0.61,0.69
Dishonored,12.14,18.36,37.54
Clustertruck,3.66,5.57,8.35
Resident Evil 7 Biohazard,9.3,11.95,27.62


Catan Universe,21.45,0.0,46.17
Craft Keep VR,0.0,0.0,0.0

Learn Japanese To Survive! Katakana War,10.9,11.75,12.15
Pavlov VR,2.63,17.18,140.87
Stories Untold,2.74,3.03,3.12
Surgeon Simulator: Experience Reality,1.81,2.38,3.46
